objectid,placeid,city,state,year,dockid,docknm
378,AZ006,Phoenix,AZ,2019,37,Grid
379,AZ009,Tucson,AZ,2019,110,tugo
380,CA0012,Beverly Hills,CA,2019,81,Beverly Hills Bikeshare
381,CA0018,Long Beach,CA,2019,72,"Long Beach, CA Bikeshare"
382,CA0019,Los Angeles,CA,2019,73,Metro Bike Share Los Angeles
383,CA0023,Oakland,CA,2019,42,Bay Area BikeShare (became Ford GoBike 06/28/2017 then became Bay Wheels 06/2019)
384,CA0026,San Francisco,CA,2019,42,Bay Area BikeShare (became Ford GoBike 06/28/2017 then became Bay Wheels 06/2019)
385,CA0029,San Ramon,CA,2019,75,BriteBikes
386,CA0033,Santa Monica,CA,2019,39,Breeze
387,CO0038,Aspen,CO,2019,27,WE-cycle
388,CO0040,Boulder,CO,2019,11,Boulder B-cycle
389,CO0042,Denver,CO,2019,7,Denver B-cycle
390,CO0045,Longmont,CO,2019,90,Longmont
391,CT00240,New Haven,CT,2019,137,Bike New Haven
392,DC0046,Washington,DC,2019,56,Capital Bikeshare
393,FL00248,Fort Pierce/Port St Lucie,FL,2019,138,St Lucie County
394,FL0047,Aventura,FL,2019,85,Aventura
395,FL0050,Fort Lauderdale,FL,2019,12,Broward B-cycle
396,FL0055,Miami,FL,2019,5,Citi Bike Miami
397,FL0064,Tampa,FL,2019,33,Coast Bike Share
398,GA0066,Atlanta,GA,2019,77,Relay Bike Share
399,GA0067,Carrollton,GA,2019,91,Carrollton
400,GA0068,Evans,GA,2019,45,Columbia County B-cycle
401,GA0070,Smyrna,GA,2019,70,Smyrna Bike Share
402,HI0072,Honolulu,HI,2019,111,Hawaii Bikibike
403,IA0073,Des Moines,IA,2019,14,Des Moines B-cycle
404,ID0075,Boise,ID,2019,36,Boise Green Bike
405,IL0077,Aurora,IL,2019,95,Aurora
406,IL0078,Bloomington,IL,2019,100,Normal (Bikeshare 309)
407,IL0079,Chicago,IL,2019,60,Divvy
408,IL0080,Peoria,IL,2019,107,Peoria
409,IN0082,Carmel,IN,2019,64,Carmel Bike Share
410,IN0087,Indianapolis,IN,2019,48,Indiana Pacers Bikeshare
411,KS0089,Salina,KS,2019,135,KANcycle
412,KS0090,Topeka,KS,2019,34,Topeka Metro Bikes
413,KS0091,Wichita,KS,2019,89,Wichita
414,KY0093,Louisville,KY,2019,102,Lou Velo
415,LA00252,Baton Rouge,LA,2019,151,Gotcha
416,LA0094,New Orleans,LA,2019,109,New Orleans Bikeshare
417,MA00103,Marlborough,MA,2019,132,"City of Marlborough, MA"
418,MA00111,Salem,MA,2019,108,Salem
419,MA00249,Amherst,MA,2019,139,ValleyBike
420,MA0098,Boston,MA,2019,1,Hubway (03/2018 re-launched as Blue Bikes)
421,MD00118,Boyds,MD,2019,134,Montgomery Parks
422,MD00124,Columbia,MD,2019,141,Howard County Bikeshare
423,MI00125,Ann Arbor,MI,2019,4,arborbike
424,MI00126,Battle Creek,MI,2019,49,Battle Creek B-cycle
425,MI00127,Dearborn,MI,2019,103,Dearborn
426,MI00128,Detroit,MI,2019,101,Mo Go
427,MN00132,Minneapolis,MN,2019,25,Nice Ride Minnesota (became partially dockless in 2018)
428,MO00137,Kansas City,MO,2019,18,Kansas City B-cycle
429,NC00139,Charlotte,NC,2019,13,Charlotte B-cycle (became JoyRides Sep-2020)
430,NC00142,Raleigh,NC,2019,140,Citrix Bikeshare (became Cardinal bikeshare in May-2022)
431,NC00143,Winston-Salem,NC,2019,105,Winston-Salem
432,ND00144,Fargo,ND,2019,51,Great Rides
433,NE00145,Lincoln,NE,2019,120,BikeLNK
434,NE00146,Omaha,NE,2019,16,Heartland B-cycle
435,NH00147,Manchester,NH,2019,104,Manchester
436,NH00148,Portsmouth,NH,2019,87,Portsmouth
